midx,midy,midz,cut_real,cut_est,ugcut,f1
474642.937,7479625.072,1632.500, 0.207, 0.073,10,5
474672.162,7479624.196,1632.500, 0.498, 0.083,10,4
474692.474,7479623.094,1632.500, 0.168, 0.050,10,4
474801.643,7479624.488,1632.500, 0.015, 0.107,10,5
474801.940,7479631.482,1632.500, 0.018, 0.101,10,5
474297.118,7479664.002,1632.500, 0.073, 0.173,10,7
474403.743,7479633.672,1632.500, 0.666, 0.205,10,3
474407.215,7479639.731,1632.500, 0.560, 0.204,10,3
474500.388,7479651.409,1632.500, 1.870, 0.267,10,3
474505.973,7479659.944,1632.500, 1.490, 0.262,10,3
474504.959,7479642.323,1632.500, 0.540, 0.257,10,3
474510.544,7479650.858,1632.500, 0.700, 0.251,10,4
474525.271,7479641.221,1632.500, 1.530, 0.275,10,4
474515.636,7479658.830,1632.500, 0.680, 0.356,10,4
474534.963,7479640.438,1632.500, 0.760, 0.278,10,5
474536.441,7479658.291,1632.500, 0.540, 0.242,10,5
474515.115,7479641.772,1632.500, 0.500, 0.257,10,3
474576.051,7479638.467,1632.500, 0.250, 0.220,10,5
474581.636,7479647.002,1632.500, 0.256, 0.256,10,5
474586.208,7479637.916,1632.500, 0.259, 0.239,10,5
474565.895,7479639.018,1632.500, 0.293, 0.239,10,5
474555.739,7479639.569,1632.500, 0.278, 0.174,10,5
474587.221,7479655.537,1632.500, 0.357, 0.247,10,5
474601.949,7479645.900,1632.500, 0.424, 0.338,10,5
474602.962,7479663.521,1632.500, 0.401, 0.307,10,5
474597.377,7479654.986,1632.500, 0.508, 0.336,10,5
474607.534,7479654.435,1632.500, 0.210, 0.242,10,5
474591.793,7479646.451,1632.500, 0.462, 0.310,10,5
474636.988,7479635.162,1632.500, 0.055, 0.101,10,4
474683.332,7479641.266,1632.500, 0.129, 0.055,10,4
474694.502,7479658.337,1632.500, 0.064, 0.051,10,4
474721.023,7479642.520,1617.500, 0.240, 0.052,10,6
474732.843,7479672.419,1617.500, 0.248, 0.080,10,6
474732.110,7479662.604,1617.500, 0.110, 0.067,10,6
474749.794,7479657.926,1617.500, 0.118, 0.067,10,6
474720.320,7479662.527,1632.500, 0.020, 0.046,10,4
474742.771,7479663.808,1617.500, 0.160, 0.078,10,6
474722.181,7479671.214,1617.500, 0.201, 0.063,10,6
474721.304,7479652.524,1617.500, 0.160, 0.062,10,6
474731.965,7479653.729,1617.500, 0.200, 0.063,10,6
474731.684,7479643.725,1617.500, 0.160, 0.059,10,6
474721.449,7479661.399,1617.500, 0.120, 0.063,10,6
474741.643,7479664.937,1632.500, 0.037, 0.059,10,4
474754.445,7479647.716,1632.500, 0.053, 0.062,10,4
474775.767,7479650.125,1632.500, 0.049, 0.072,10,4
474784.288,7479669.756,1632.500, 0.049, 0.079,10,4
474762.965,7479667.346,1632.500, 0.084, 0.068,10,4
474802.534,7479645.469,1632.500, 0.034, 0.088,10,5
474802.831,7479652.463,1632.500, 0.050, 0.086,10,4
474824.055,7479667.516,1632.500, 0.092, 0.094,10,3
474803.426,7479666.450,1632.500, 0.049, 0.088,10,4
474803.128,7479659.456,1632.500, 0.043, 0.085,10,4
474832.108,7479667.649,1632.500, 0.030, 0.112,10,3
474840.123,7479659.722,1632.500, 0.058, 0.116,10,3
474848.090,7479659.805,1632.500, 0.060, 0.145,10,3
474840.130,7479667.730,1632.500, 0.073, 0.111,10,3
474844.677,7479644.758,1632.500, 0.026, 0.126,10,3
474250.747,7479710.860,1632.500, 0.381, 0.192,10,5
474259.075,7479710.882,1632.500, 0.425, 0.214,10,5
474267.313,7479710.621,1632.500, 0.619, 0.178,10,5
474264.797,7479710.476,1632.500, 1.063, 0.263,10,5
474275.844,7479683.147,1632.500, 0.141, 0.152,10,7
474270.371,7479687.407,1632.500, 0.862, 0.166,10,7
474286.582,7479673.576,1632.500, 0.075, 0.160,10,7
474281.010,7479677.771,1632.500, 0.193, 0.144,10,7
474580.107,7479708.951,1632.500, 1.053, 0.120,10,5
474583.664,7479682.244,1632.500, 0.437, 0.206,10,5
474593.820,7479681.693,1632.500, 0.550, 0.248,10,5
474641.043,7479705.646,1632.500, 0.171, 0.092,10,4
474690.856,7479685.280,1632.500, 0.050, 0.065,10,4
474716.089,7479699.358,1632.500, 0.060, 0.079,10,4
474750.622,7479678.910,1617.500, 0.156, 0.074,10,6
474743.504,7479673.624,1617.500, 0.133, 0.081,10,6
474718.180,7479680.953,1632.500, 0.042, 0.059,10,4
474745.903,7479674.752,1632.500, 0.068, 0.065,10,4
474737.362,7479701.788,1632.500, 0.071, 0.076,10,4
474782.147,7479688.182,1632.500, 0.079, 0.089,10,4
474780.006,7479706.607,1632.500, 0.170, 0.097,10,4
474760.825,7479685.772,1632.500, 0.095, 0.089,10,4
474754.424,7479694.382,1632.500, 0.058, 0.096,10,4
474803.723,7479673.444,1632.500, 0.087, 0.091,10,4
474827.940,7479692.585,1632.500, 0.114, 0.116,10,3
474827.890,7479701.453,1632.500, 0.098, 0.124,10,3
474832.071,7479675.599,1632.500, 0.066, 0.107,10,3
474818.982,7479692.521,1632.500, 0.088, 0.094,10,3
474828.090,7479709.919,1632.500, 0.077, 0.124,10,3
474804.614,7479694.425,1632.500, 0.080, 0.091,10,4
474818.988,7479683.501,1632.500, 0.114, 0.093,10,3
474804.020,7479680.437,1632.500, 0.184, 0.092,10,4
474804.912,7479701.419,1632.500, 0.097, 0.095,10,4
474828.058,7479683.530,1632.500, 0.065, 0.136,10,3
474840.068,7479675.757,1632.500, 0.077, 0.127,10,3
474836.987,7479683.672,1632.500, 0.132, 0.127,10,3
474845.964,7479692.698,1632.500, 0.202, 0.145,10,3
474836.956,7479692.678,1632.500, 0.226, 0.136,10,3
474845.910,7479701.845,1632.500, 0.117, 0.106,10,3
474837.020,7479701.700,1632.500, 0.195, 0.189,10,3
474836.810,7479709.585,1632.500, 0.291, 0.128,10,3
474254.934,7479715.164,1632.500, 2.173, 0.163,10,5
474261.245,7479719.480,1632.500, 0.960, 0.157,10,5
474263.286,7479715.174,1632.500, 0.549, 0.152,10,5
474259.126,7479719.468,1632.500, 1.726, 0.152,10,5
474269.895,7479716.478,1632.500, 1.397, 0.218,10,5
474279.930,7479715.048,1632.500, 0.532, 0.175,10,5
474585.692,7479717.486,1632.500, 0.186, 0.107,10,5
474806.968,7479729.324,1632.500, 0.184, 0.206,10,3
474806.150,7479722.372,1632.500, 0.082, 0.199,10,3
474792.787,7479736.053,1632.500, 0.148, 0.205,10,3
474828.139,7479720.664,1632.500, 0.094, 0.117,10,3
474846.916,7479732.321,1632.500, 0.128, 0.115,10,3
474838.218,7479751.343,1632.500, 0.301, 0.113,10,3
474849.609,7479741.656,1632.500, 0.411, 0.115,10,3
474837.313,7479726.878,1632.500, 0.168, 0.140,10,3
474845.800,7479725.121,1632.500, 0.166, 0.129,10,3
474699.014,7479753.434,1632.500, 0.265, 0.132,10,4
474805.568,7479765.499,1632.500, 0.309, 0.322,10,3
474871.519,7479775.935,1632.500, 0.241, 0.109,10,4
